,FlightNo.,Dateandtime(UTC),VersionBooster,Launchsite,Payload,Payloadmass,Orbit,Customer,Launchoutcome,Boosterlanding
0,1,4 June 2010,F9 v1.0B0003[3],"CCSFS,SLC-40",Dragon Spacecraft Qualification Unit,N,LEO,SpaceX,Success,Failure[5](parachute)
1,2,8 December 2010,F9 v1.0B0004[3],"CCSFS,SLC-40",SpaceX COTS Demo Flight 1,U,LEO(ISS),NASA(COTS)various others,Success,Failure[10](parachute)
2,3,22 May 2012,F9 v1.0B0005[3],"CCSFS,SLC-40",SpaceX COTS Demo Flight 2,525 kg,LEO(ISS),NASA(COTS),Success,No attempt
3,4,8 October 2012,F9 v1.0B0006[3],"CCSFS,SLC-40",SpaceX CRS-1,"4,700 kg",LEO(ISS),NASA(CRS),Success,No attempt
4,5,1 March 2013,F9 v1.0B0007[3],"CCSFS,SLC-40",SpaceX CRS-2,"4,877 kg",LEO(ISS),NASA(CRS),Success,No attempt
5,6,29 September 2013,F9 v1.1B1003[3],"VSFB,SLC-4E",CASSIOPE,500 kg,Polar orbitLEO,MDA,Success,Uncontrolled(ocean)
6,7,3 December 2013,F9 v1.1B1004,"CCSFS,SLC-40",SES-8,"3,170 kg",GTO,SES,Success,No attempt
7,8,6 January 2014,F9 v1.1,"CCSFS,SLC-40",Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt
8,9,18 April 2014,F9 v1.1,"CCSFS,SLC-40",SpaceX CRS-3,"2,296 kg",LEO(ISS),NASA(CRS),Success,Controlled(ocean)[42]
9,10,14 July 2014,F9 v1.1,"CCSFS,SLC-40",Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled(ocean)[42]
10,11,5 August 2014,F9 v1.1,"CCSFS,SLC-40",AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt
11,12,7 September 2014,F9 v1.1B1011,"CCSFS,SLC-40",AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,No attempt
12,13,21 September 2014,F9 v1.1B1010,"CCSFS,SLC-40",SpaceX CRS-4,"2,216 kg",LEO(ISS),NASA(CRS),Success,Uncontrolled(ocean)[60]
13,14,10 January 2015,F9 v1.1B1012,"CCSFS,SLC-40",SpaceX CRS-5,"2,395 kg",LEO(ISS),NASA(CRS),Success,Failure(drone ship)
14,15,11 February 2015,F9 v1.1B1013,"CCSFS,SLC-40",DSCOVR,570 kg,Sun–Earth L1insertion,USAFNASANOAA,Success,Controlled(ocean)
15,16,2 March 2015,F9 v1.1B1014,"CCSFS,SLC-40",ABS-3A,"4,159 kg",GTO,ABSEutelsat,Success,No attempt
16,17,14 April 2015,F9 v1.1B1015,"CCSFS,SLC-40",SpaceX CRS-6,"1,898 kg",LEO(ISS),NASA(CRS),Success,Failure(drone ship)
17,18,27 April 2015,F9 v1.1B1016,"CCSFS,SLC-40",TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Turkmenistan NationalSpace Agency,Success,No attempt
18,19,28 June 2015,F9 v1.1B1018,"CCSFS,SLC-40",SpaceX CRS-7,"1,952 kg",LEO(ISS),NASA(CRS),Failure(in flight),Precluded(drone ship)
19,20,22 December 2015,F9 FTB1019,"CCSFS,SLC-40",Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,Success,Success(ground pad)
20,21,17 January 2016,F9 v1.1B1017,"VSFB,SLC-4E",Jason-3,553 kg,LEO,NASA(LSP)NOAACNES,Success,Failure(drone ship)
21,22,4 March 2016,F9 FTB1020,"CCSFS,SLC-40",SES-9,"5,271 kg",GTO,SES,Success,Failure(drone ship)
22,23,8 April 2016,F9 FTB1021.1,"CCSFS,SLC-40",SpaceX CRS-8,"3,136 kg",LEO(ISS),NASA(CRS),Success,Success(drone ship)
23,24,6 May 2016,F9 FTB1022,"CCSFS,SLC-40",SKY Perfect JSAT,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
24,25,27 May 2016,F9 FTB1023.1,"CCSFS,SLC-40",Thaicom 8,"3,100 kg",GTO,Thaicom,Success,Success(drone ship)
25,26,15 June 2016,F9 FTB1024,"CCSFS,SLC-40",ABS (satellite operator),"3,600 kg",GTO,ABSEutelsat,Success,Failure(drone ship)
26,27,18 July 2016,F9 FTB1025.1,"CCSFS,SLC-40",SpaceX CRS-9,"2,257 kg",LEO(ISS),NASA(CRS),Success,Success(ground pad)
27,28,14 August 2016,F9 FTB1026,"CCSFS,SLC-40",JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
